"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 01 12:09:31 GMT 2024","Mon Apr 01 12:09:41 GMT 2024","9946","tests.UI_tests","tensor_test","TestTensorSuite","","","test_first_scenario","Сравнение размеров картинок в блоке 'Работаем'"
"passed","Mon Apr 01 12:09:43 GMT 2024","Mon Apr 01 12:09:52 GMT 2024","9065","tests.UI_tests","tensor_test","TestTensorSuite","","","test_second_scenario","Изменение региона на 'Камчатский край'"
"passed","Mon Apr 01 12:09:52 GMT 2024","Mon Apr 01 12:10:04 GMT 2024","11390","tests.UI_tests","tensor_test","TestTensorSuite","","","test_third_scenario","Загрузка Sbis-plugin для Windows"
